"en","fr"
"Change language","Changer de langue"
"Load setup file","Charger le fichier de configuration"
"Provide server credentials","Fournir les informations d'identification du serveur"
"Survey Solutions questionnaire","Questionnaire sur les solutions d'enquête"
"Survey instrument template","Modèle d'instrument d'enquête"
"Survey visit","Visite d'enquête"
"Save settings","Enregistrer les paramètres"
"Do you have a setup file for this application?","Avez-vous un fichier d'installation pour cette application ?"
"Yes","Oui"
"No","Non"
"Next","Suivante"
"Server URL","URL du serveur"
"Workspace","Espace de travail"
"API user name","Nom d'utilisateur de l'API"
"API user's password","Mot de passe de l'utilisateur de l'API"
"Save","Sauvegarder"
"Provide a string that identifies the questionnaire(s) of interest","Fournissez une chaîne qui identifie le(s) questionnaire(s) qui vous intéressent"
"Search","Recherche"
"Identify all","Identifiez tout"
"Select main","Sélectionnez principal"
"Which template(s)?","Quel(s) modèle(s) ?"
"Which optional extension(s)?","Quelle(s) extension(s) optionnelle(s) ?"
"None","Aucune"
"Crop labor inputs","Intrants de main-d’œuvre des cultures"
"Input use","Utilisation des entrées"
"Livestock labor","Travail du bétail"
